,fecha,provincia,v_muy_cortos,v_cortos,v_medios,v_largos,v_muy_largos,v_extra_largos,v_noche,v_madrugada,v_mañana,v_mediodia,v_sobremesa,v_tarde,v_km_muy_cortos,v_km_cortos,v_km_medios,v_km_largos,v_km_muy_largos,v_km_extra_largos,v_km_noche,v_km_madrugada,v_km_mañana,v_km_mediodia,v_km_sobremesa,v_km_tarde,cero_viajes,un_viaje,dos_viajes,mas_de_dos_viajes,num_casos,poblacion,altitud,tmed,prec,tmin,tmax,velmedia,sol,presMax,presMin,hr
20,2020-03-01,ZARAGOZA,1202504880.0,926429535.0,688081988.0,1226681636.0,367443801.0,208479514.0,392262812.0,328875649.0,828381411.0,1131390406.0,1241896798.0,696814278.0,1423160079.0,3038539911.0,4972760951.0,26752639495.0,25640097708.0,44988045282.0,3779070658.0,5158804658.0,20164679753.0,27890932228.0,39215520920.0,10606235209.0,1067720478.0,253300534.0,318114408.0,740074114.0,0.0,964693,249,16.6,1.2,11.9,21.3,7.5,8.1,981.3,971.3,60.0
21,2020-03-02,ALICANTE,1782575045.0,1695642105.0,1331869960.0,1219154301.0,85097769.0,56350031.0,298587016.0,782328400.0,1345640243.0,1513173037.0,1425615713.0,805344802.0,2175537823.0,5611725361.0,9520306770.0,25068089166.0,5818560971.0,15738289630.0,2316659646.0,10503966238.0,16190937527.0,15695251838.0,13876549363.0,5349145109.0,691101800.0,85583838.0,443045849.0,984611797.0,5.0,1858683,43,18.5,0.6,12.1,24.9,9.7,7.2,1014.7,999.9,64.0
22,2020-03-02,ALMERIA,586066810.0,643434554.0,606847965.0,812483167.0,54198040.0,38428060.0,133892642.0,339587961.0,607037375.0,678327667.0,620456592.0,362156359.0,716456979.0,2191892715.0,4384487974.0,15746681070.0,3608734742.0,8508157752.0,1427701584.0,5300926931.0,8646918250.0,8448419556.0,7780219843.0,3552225068.0,353203588.0,48262475.0,217161607.0,392541423.0,0.0,716820,21,16.9,0.0,12.8,21.0,12.8,9.1,1015.8,1006.6,66.0
23,2020-03-02,BADAJOZ,748350550.0,519756718.0,549418391.0,1094129917.0,110735489.0,76886704.0,144310737.0,362536625.0,688264638.0,786099927.0,701408774.0,416657068.0,915149240.0,1680009047.0,4026039924.0,22889641996.0,7566073607.0,16268923525.0,1993794171.0,9107772565.0,13451227199.0,13117072817.0,11424453607.0,4251516980.0,661310630.0,60107251.0,307570741.0,490595736.0,2.0,673559,185,13.2,0.0,9.1,17.2,6.1,8.1,1000.5,987.2,67.0
24,2020-03-02,CADIZ,1247685104.0,1002159913.0,596733974.0,574568972.0,84008175.0,39329504.0,231374510.0,365083247.0,704704720.0,853741213.0,839467529.0,550114423.0,1533582617.0,3153573642.0,4338580014.0,11200408044.0,6165250152.0,9639881860.0,1466097707.0,5402313216.0,8841182885.0,9200505652.0,7900029701.0,3221147168.0,382386474.0,65518088.0,221530205.0,525615127.0,0.0,1240155,2,17.4,0.1,15.5,19.3,4.4,,1024.6,1016.8,87.0
25,2020-03-02,CIUDAD_REAL,506873462.0,271346890.0,264486054.0,588083866.0,60231321.0,70646252.0,83588835.0,216153983.0,396225924.0,443659877.0,396565565.0,225473661.0,612059559.0,876368016.0,1938543127.0,12531728905.0,4101248648.0,13331895179.0,1557435464.0,6539931224.0,8307954897.0,7929496683.0,6780835415.0,2276189751.0,359501808.0,36323113.0,181156676.0,299793880.0,0.0,495761,628,11.2,4.0,6.6,15.7,5.8,7.1,947.8,934.5,62.0
26,2020-03-02,CORDOBA,893300397.0,630240353.0,453216688.0,643234143.0,68470218.0,46908413.0,152655021.0,287429829.0,559079878.0,658659678.0,656697839.0,420847967.0,1055749112.0,2055231784.0,3337095682.0,13021075303.0,4541741926.0,9437249050.0,1397076240.0,5647586167.0,7837842621.0,7942254131.0,7565786912.0,3057596786.0,399191796.0,49019167.0,242089150.0,445271682.0,0.0,782979,90,15.2,0.1,9.8,20.7,8.1,9.3,1012.9,1000.3,76.0
27,2020-03-02,CORUÑA,1062137266.0,1136799719.0,1013840345.0,966535106.0,66963750.0,27108728.0,242380770.0,448540665.0,883669533.0,1035419570.0,1005235912.0,658138464.0,1260423710.0,3791065795.0,7260609694.0,17980691019.0,4385875890.0,9499942051.0,1853312813.0,6765229699.0,10161645549.0,10868990340.0,9519617850.0,5009811908.0,309459721.0,45795833.0,239771053.0,659145552.0,0.0,1119596,58,11.0,3.8,8.8,13.1,6.9,5.0,1009.1,988.7,82.0
28,2020-03-02,GRANADA,844859125.0,864067890.0,814644096.0,856987244.0,74151854.0,63579656.0,205683408.0,367717558.0,742505403.0,859973899.0,836303977.0,506105620.0,1004912071.0,2930386263.0,5858833234.0,16985304369.0,5154342147.0,14969865454.0,2156337465.0,6160273200.0,11828676287.0,11766555139.0,10521019630.0,4470781817.0,523488242.0,68002946.0,299082633.0,557124856.0,0.0,914678,687,14.0,0.5,10.5,17.5,7.2,3.6,942.1,934.9,62.0
29,2020-03-02,HUELVA,421025347.0,314339702.0,330203729.0,513317179.0,72258105.0,33085570.0,88586533.0,181461378.0,346039941.0,419663805.0,408870454.0,239607521.0,499359754.0,1050648148.0,2389361283.0,10759089153.0,5064467279.0,7106373795.0,1184191453.0,3430211409.0,6310436439.0,6974829044.0,6579067898.0,2390563169.0,318519526.0,38892604.0,142153734.0,262562529.0,0.0,521870,19,15.4,0.2,10.0,20.9,5.6,9.4,1022.4,1012.0,84.0
