,fecha,provincia,poblacion,num_casos
166,2020-03-08,ZAMORA,172539.0,0.0
167,2020-03-08,ZARAGOZA,964693.0,12.0
168,2020-03-09,ALICANTE,1858683.0,6.0
169,2020-03-09,ALMERIA,716820.0,0.0
170,2020-03-09,BADAJOZ,673559.0,1.0
171,2020-03-09,CADIZ,1240155.0,1.0
172,2020-03-09,CIUDAD_REAL,495761.0,7.0
173,2020-03-09,CORDOBA,782979.0,1.0
174,2020-03-09,GRANADA,914678.0,1.0
175,2020-03-09,HUELVA,521870.0,1.0
176,2020-03-09,JAEN,633564.0,1.0
177,2020-03-09,LA_CORUÑA,1119596.0,8.0
178,2020-03-09,LUGO,329587.0,1.0
179,2020-03-09,MADRID,6663394.0,431.0
180,2020-03-09,MALAGA,1661785.0,14.0
181,2020-03-09,ORENSE,307651.0,0.0
182,2020-03-09,PALENCIA,160980.0,0.0
183,2020-03-09,PONTEVEDRA,942665.0,0.0
184,2020-03-09,SALAMANCA,330119.0,1.0
185,2020-03-09,SEVILLA,1942389.0,0.0
186,2020-03-09,VALENCIA,2565124.0,6.0
187,2020-03-09,ZAMORA,172539.0,0.0
188,2020-03-09,ZARAGOZA,964693.0,4.0
189,2020-03-10,ALICANTE,1858683.0,5.0
190,2020-03-10,ALMERIA,716820.0,1.0
191,2020-03-10,BADAJOZ,673559.0,0.0
192,2020-03-10,CADIZ,1240155.0,3.0
193,2020-03-10,CIUDAD_REAL,495761.0,12.0
194,2020-03-10,CORDOBA,782979.0,1.0
195,2020-03-10,GRANADA,914678.0,0.0
196,2020-03-10,HUELVA,521870.0,0.0
197,2020-03-10,JAEN,633564.0,1.0
198,2020-03-10,LA_CORUÑA,1119596.0,8.0
199,2020-03-10,LUGO,329587.0,1.0
200,2020-03-10,MADRID,6663394.0,660.0
201,2020-03-10,MALAGA,1661785.0,12.0
202,2020-03-10,ORENSE,307651.0,1.0
203,2020-03-10,PALENCIA,160980.0,0.0
204,2020-03-10,PONTEVEDRA,942665.0,3.0
205,2020-03-10,SALAMANCA,330119.0,2.0
206,2020-03-10,SEVILLA,1942389.0,0.0
207,2020-03-10,VALENCIA,2565124.0,27.0
208,2020-03-10,ZAMORA,172539.0,1.0
209,2020-03-10,ZARAGOZA,964693.0,6.0
210,2020-03-11,ALICANTE,1858683.0,10.0
211,2020-03-11,ALMERIA,716820.0,1.0
212,2020-03-11,BADAJOZ,673559.0,1.0
213,2020-03-11,CADIZ,1240155.0,4.0
214,2020-03-11,CIUDAD_REAL,495761.0,9.0
215,2020-03-11,CORDOBA,782979.0,1.0
216,2020-03-11,GRANADA,914678.0,5.0
217,2020-03-11,HUELVA,521870.0,0.0
218,2020-03-11,JAEN,633564.0,9.0
219,2020-03-11,LA_CORUÑA,1119596.0,12.0
220,2020-03-11,LUGO,329587.0,0.0
221,2020-03-11,MADRID,6663394.0,836.0
222,2020-03-11,MALAGA,1661785.0,21.0
223,2020-03-11,ORENSE,307651.0,4.0
224,2020-03-11,PALENCIA,160980.0,0.0
225,2020-03-11,PONTEVEDRA,942665.0,6.0
226,2020-03-11,SALAMANCA,330119.0,1.0
227,2020-03-11,SEVILLA,1942389.0,5.0
228,2020-03-11,VALENCIA,2565124.0,27.0
229,2020-03-11,ZAMORA,172539.0,1.0
230,2020-03-11,ZARAGOZA,964693.0,12.0
231,2020-03-12,ALICANTE,1858683.0,17.0
232,2020-03-12,ALMERIA,716820.0,2.0
233,2020-03-12,BADAJOZ,673559.0,6.0
234,2020-03-12,CADIZ,1240155.0,4.0
235,2020-03-12,CIUDAD_REAL,495761.0,30.0
236,2020-03-12,CORDOBA,782979.0,6.0
237,2020-03-12,GRANADA,914678.0,8.0
238,2020-03-12,HUELVA,521870.0,1.0
239,2020-03-12,JAEN,633564.0,11.0
240,2020-03-12,LA_CORUÑA,1119596.0,16.0
241,2020-03-12,LUGO,329587.0,6.0
242,2020-03-12,MADRID,6663394.0,975.0
243,2020-03-12,MALAGA,1661785.0,37.0
244,2020-03-12,ORENSE,307651.0,4.0
245,2020-03-12,PALENCIA,160980.0,1.0
246,2020-03-12,PONTEVEDRA,942665.0,11.0
247,2020-03-12,SALAMANCA,330119.0,17.0
248,2020-03-12,SEVILLA,1942389.0,7.0
249,2020-03-12,VALENCIA,2565124.0,33.0
250,2020-03-12,ZAMORA,172539.0,3.0
251,2020-03-12,ZARAGOZA,964693.0,16.0
252,2020-03-13,ALICANTE,1858683.0,54.0
253,2020-03-13,ALMERIA,716820.0,6.0
254,2020-03-13,BADAJOZ,673559.0,13.0
255,2020-03-13,CADIZ,1240155.0,10.0
256,2020-03-13,CIUDAD_REAL,495761.0,38.0
257,2020-03-13,CORDOBA,782979.0,14.0
258,2020-03-13,GRANADA,914678.0,26.0
259,2020-03-13,HUELVA,521870.0,2.0
260,2020-03-13,JAEN,633564.0,14.0
